src,dst
R-HSA-192105|Synthesis of bile acids and bile salts,R-HSA-193775|Synthesis of bile acids and bile salts via 24-hydroxycholesterol
R-HSA-193639|p75NTR signals via NF-kB,R-HSA-209543|p75NTR recruits signalling complexes
R-HSA-193639|p75NTR signals via NF-kB,R-HSA-209560|NF-kB is activated and signals survival
R-HSA-193697|p75NTR regulates axonogenesis,R-HSA-193634|Axonal growth inhibition (RHOA activation)
R-HSA-193704|p75 NTR receptor-mediated signalling,R-HSA-193639|p75NTR signals via NF-kB
R-HSA-193704|p75 NTR receptor-mediated signalling,R-HSA-193697|p75NTR regulates axonogenesis
R-HSA-193704|p75 NTR receptor-mediated signalling,"R-HSA-204998|Cell death signalling via NRAGE, NRIF and NADE"
R-HSA-194068|Bile acid and bile salt metabolism,R-HSA-159418|Recycling of bile acids and salts
R-HSA-194068|Bile acid and bile salt metabolism,R-HSA-192105|Synthesis of bile acids and bile salts
R-HSA-194138|Signaling by VEGF,R-HSA-4420097|VEGFA-VEGFR2 Pathway
R-HSA-194315|Signaling by Rho GTPases,R-HSA-195258|RHO GTPase Effectors
R-HSA-194315|Signaling by Rho GTPases,R-HSA-9012999|RHO GTPase cycle
R-HSA-195258|RHO GTPase Effectors,R-HSA-5625740|RHO GTPases activate PKNs
R-HSA-195258|RHO GTPase Effectors,R-HSA-5625900|RHO GTPases activate CIT
R-HSA-195258|RHO GTPase Effectors,R-HSA-5626467|RHO GTPases activate IQGAPs
R-HSA-195258|RHO GTPase Effectors,R-HSA-5627117|RHO GTPases Activate ROCKs
R-HSA-195258|RHO GTPase Effectors,R-HSA-5627123|RHO GTPases activate PAKs
R-HSA-195258|RHO GTPase Effectors,R-HSA-5663213|RHO GTPases Activate WASPs and WAVEs
R-HSA-195258|RHO GTPase Effectors,R-HSA-5663220|RHO GTPases Activate Formins
R-HSA-195258|RHO GTPase Effectors,R-HSA-5668599|RHO GTPases Activate NADPH Oxidases
R-HSA-195721|Signaling by WNT,R-HSA-195253|Degradation of beta-catenin by the destruction complex
R-HSA-195721|Signaling by WNT,R-HSA-201681|TCF dependent signaling in response to WNT
R-HSA-195721|Signaling by WNT,R-HSA-3858494|Beta-catenin independent WNT signaling
"R-HSA-196741|Cobalamin (Cbl, vitamin B12) transport and metabolism",R-HSA-9758881|Uptake of dietary cobalamins into enterocytes
R-HSA-196849|Metabolism of water-soluble vitamins and cofactors,"R-HSA-196741|Cobalamin (Cbl, vitamin B12) transport and metabolism"
R-HSA-196849|Metabolism of water-soluble vitamins and cofactors,R-HSA-196757|Metabolism of folate and pterines
R-HSA-196849|Metabolism of water-soluble vitamins and cofactors,R-HSA-196807|Nicotinate metabolism
R-HSA-196854|Metabolism of vitamins and cofactors,R-HSA-196849|Metabolism of water-soluble vitamins and cofactors
R-HSA-196854|Metabolism of vitamins and cofactors,R-HSA-6806667|Metabolism of fat-soluble vitamins
R-HSA-196854|Metabolism of vitamins and cofactors,R-HSA-8978934|Metabolism of cofactors
R-HSA-1980143|Signaling by NOTCH1,R-HSA-2122947|NOTCH1 Intracellular Domain Regulates Transcription
R-HSA-1980143|Signaling by NOTCH1,R-HSA-2122948|Activated NOTCH1 Transmits Signal to the Nucleus
R-HSA-1980145|Signaling by NOTCH2,R-HSA-2979096|NOTCH2 Activation and Transmission of Signal to the Nucleus
R-HSA-198725|Nuclear Events (kinase and transcription factor activation),R-HSA-9031628|NGF-stimulated transcription
R-HSA-199418|Negative regulation of the PI3K/AKT network,"R-HSA-6811558|PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling"
R-HSA-199977|ER to Golgi Anterograde Transport,R-HSA-204005|COPII-mediated vesicle transport
R-HSA-199977|ER to Golgi Anterograde Transport,R-HSA-5694530|Cargo concentration in the ER
R-HSA-199977|ER to Golgi Anterograde Transport,R-HSA-6807878|COPI-mediated anterograde transport
R-HSA-199991|Membrane Trafficking,R-HSA-1445148|Translocation of SLC2A4 (GLUT4) to the plasma membrane
R-HSA-199991|Membrane Trafficking,R-HSA-157858|Gap junction trafficking and regulation
R-HSA-199991|Membrane Trafficking,R-HSA-199977|ER to Golgi Anterograde Transport
R-HSA-199991|Membrane Trafficking,R-HSA-199992|trans-Golgi Network Vesicle Budding
R-HSA-199991|Membrane Trafficking,R-HSA-6811442|Intra-Golgi and retrograde Golgi-to-ER traffic
R-HSA-199991|Membrane Trafficking,R-HSA-8856828|Clathrin-mediated endocytosis
R-HSA-199991|Membrane Trafficking,R-HSA-9007101|Rab regulation of trafficking
R-HSA-199992|trans-Golgi Network Vesicle Budding,R-HSA-432720|Lysosome Vesicle Biogenesis
R-HSA-199992|trans-Golgi Network Vesicle Budding,R-HSA-432722|Golgi Associated Vesicle Biogenesis
R-HSA-201681|TCF dependent signaling in response to WNT,R-HSA-201722|Formation of the beta-catenin:TCF transactivating complex
R-HSA-201681|TCF dependent signaling in response to WNT,R-HSA-3769402|Deactivation of the beta-catenin transactivating complex
R-HSA-201681|TCF dependent signaling in response to WNT,R-HSA-4641257|Degradation of AXIN
R-HSA-201681|TCF dependent signaling in response to WNT,R-HSA-4641258|Degradation of DVL
R-HSA-202403|TCR signaling,R-HSA-202424|Downstream TCR signaling
R-HSA-202403|TCR signaling,R-HSA-202427|Phosphorylation of CD3 and TCR zeta chains
R-HSA-202403|TCR signaling,R-HSA-202433|Generation of second messenger molecules
R-HSA-202733|Cell surface interactions at the vascular wall,R-HSA-210990|PECAM1 interactions
R-HSA-202733|Cell surface interactions at the vascular wall,R-HSA-210991|Basigin interactions
R-HSA-202733|Cell surface interactions at the vascular wall,R-HSA-210993|Tie2 Signaling
R-HSA-2029480|Fcgamma receptor (FCGR) dependent phagocytosis,R-HSA-2029481|FCGR activation
R-HSA-2029480|Fcgamma receptor (FCGR) dependent phagocytosis,R-HSA-2029482|Regulation of actin dynamics for phagocytic cup formation
R-HSA-2029480|Fcgamma receptor (FCGR) dependent phagocytosis,R-HSA-2029485|Role of phospholipids in phagocytosis
"R-HSA-204998|Cell death signalling via NRAGE, NRIF and NADE",R-HSA-193648|NRAGE signals death through JNK
R-HSA-211000|Gene Silencing by RNA,R-HSA-426496|Post-transcriptional silencing by small RNAs
R-HSA-211859|Biological oxidations,R-HSA-156580|Phase II - Conjugation of compounds
R-HSA-211859|Biological oxidations,R-HSA-211945|Phase I - Functionalization of compounds
R-HSA-211897|Cytochrome P450 - arranged by substrate type,R-HSA-211976|Endogenous sterols
R-HSA-211945|Phase I - Functionalization of compounds,R-HSA-211897|Cytochrome P450 - arranged by substrate type
R-HSA-212165|Epigenetic regulation of gene expression,R-HSA-5250913|Positive epigenetic regulation of rRNA expression
R-HSA-212165|Epigenetic regulation of gene expression,R-HSA-5250941|Negative epigenetic regulation of rRNA expression
R-HSA-212165|Epigenetic regulation of gene expression,R-HSA-9842860|Regulation of endogenous retroelements
R-HSA-212165|Epigenetic regulation of gene expression,R-HSA-9917777|Epigenetic regulation by WDR5-containing histone modifying complexes
R-HSA-2142753|Arachidonate metabolism,R-HSA-2162123|Synthesis of Prostaglandins (PG) and Thromboxanes (TX)
R-HSA-2142845|Hyaluronan metabolism,R-HSA-2160916|Hyaluronan degradation
R-HSA-2172127|DAP12 interactions,R-HSA-2424491|DAP12 signaling
R-HSA-2173782|Binding and Uptake of Ligands by Scavenger Receptors,R-HSA-3000480|Scavenging by Class A Receptors
R-HSA-2173789|TGF-beta receptor signaling activates SMADs,R-HSA-2173788|Downregulation of TGF-beta receptor signaling
R-HSA-2173793|Transcriptional activity of SMAD2/SMAD3:SMAD4 heterotrimer,R-HSA-2173795|Downregulation of SMAD2/3:SMAD4 transcriptional activity
R-HSA-2173793|Transcriptional activity of SMAD2/SMAD3:SMAD4 heterotrimer,R-HSA-2173796|SMAD2/SMAD3:SMAD4 heterotrimer regulates transcription
R-HSA-2187338|Visual phototransduction,R-HSA-2514856|The phototransduction cascade
R-HSA-2187338|Visual phototransduction,R-HSA-975634|Retinoid metabolism and transport
R-HSA-2219528|PI3K/AKT Signaling in Cancer,R-HSA-2219530|Constitutive Signaling by Aberrant PI3K in Cancer
R-HSA-2219528|PI3K/AKT Signaling in Cancer,R-HSA-5674400|Constitutive Signaling by AKT1 E17K in Cancer
R-HSA-2262752|Cellular responses to stress,R-HSA-1234174|Cellular response to hypoxia
R-HSA-2262752|Cellular responses to stress,R-HSA-2559583|Cellular Senescence
R-HSA-2262752|Cellular responses to stress,R-HSA-3371497|HSP90 chaperone cycle for steroid hormone receptors (SHR) in the presence of ligand
R-HSA-2262752|Cellular responses to stress,R-HSA-3371556|Cellular response to heat stress
R-HSA-2262752|Cellular responses to stress,R-HSA-381119|Unfolded Protein Response (UPR)
R-HSA-2262752|Cellular responses to stress,R-HSA-9648895|Response of EIF2AK1 (HRI) to heme deficiency
R-HSA-2262752|Cellular responses to stress,R-HSA-9707616|Heme signaling
R-HSA-2262752|Cellular responses to stress,R-HSA-9711097|Cellular response to starvation
R-HSA-2262752|Cellular responses to stress,R-HSA-9711123|Cellular response to chemical stress
R-HSA-2262752|Cellular responses to stress,R-HSA-9841251|Mitochondrial unfolded protein response (UPRmt)
R-HSA-2404192|Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R),R-HSA-2428924|IGF1R signaling cascade
R-HSA-2408522|Selenoamino acid metabolism,R-HSA-2408557|Selenocysteine synthesis
R-HSA-2428924|IGF1R signaling cascade,R-HSA-2428928|IRS-related events triggered by IGF1R
R-HSA-2428928|IRS-related events triggered by IGF1R,R-HSA-112399|IRS-mediated signalling
R-HSA-2454202|Fc epsilon receptor (FCERI) signaling,R-HSA-2730905|Role of LAT2/NTAL/LAB on calcium mobilization
R-HSA-2454202|Fc epsilon receptor (FCERI) signaling,R-HSA-2871796|FCERI mediated MAPK activation
R-HSA-2454202|Fc epsilon receptor (FCERI) signaling,R-HSA-2871809|FCERI mediated Ca+2 mobilization
R-HSA-2454202|Fc epsilon receptor (FCERI) signaling,R-HSA-2871837|FCERI mediated NF-kB activation
R-HSA-2514856|The phototransduction cascade,R-HSA-2485179|Activation of the phototransduction cascade
R-HSA-2514856|The phototransduction cascade,"R-HSA-2514859|Inactivation, recovery and regulation of the phototransduction cascade"
R-HSA-2555396|Mitotic Metaphase and Anaphase,R-HSA-68882|Mitotic Anaphase
R-HSA-2559583|Cellular Senescence,R-HSA-2559580|Oxidative Stress Induced Senescence
R-HSA-2559583|Cellular Senescence,R-HSA-2559582|Senescence-Associated Secretory Phenotype (SASP)
R-HSA-2559583|Cellular Senescence,R-HSA-2559585|Oncogene Induced Senescence
R-HSA-2559583|Cellular Senescence,R-HSA-2559586|DNA Damage/Telomere Stress Induced Senescence
R-HSA-2644602|Signaling by NOTCH1 PEST Domain Mutants in Cancer,R-HSA-2644606|Constitutive Signaling by NOTCH1 PEST Domain Mutants
R-HSA-2644603|Signaling by NOTCH1 in Cancer,R-HSA-2644602|Signaling by NOTCH1 PEST Domain Mutants in Cancer
R-HSA-2644603|Signaling by NOTCH1 in Cancer,R-HSA-2691230|Signaling by NOTCH1 HD Domain Mutants in Cancer
R-HSA-2644603|Signaling by NOTCH1 in Cancer,R-HSA-2894858|Signaling by NOTCH1 HD+PEST Domain Mutants in Cancer
R-HSA-2682334|EPH-Ephrin signaling,R-HSA-3928662|EPHB-mediated forward signaling
R-HSA-2682334|EPH-Ephrin signaling,R-HSA-3928663|EPHA-mediated growth cone collapse
R-HSA-2682334|EPH-Ephrin signaling,R-HSA-3928664|Ephrin signaling
R-HSA-2682334|EPH-Ephrin signaling,R-HSA-3928665|EPH-ephrin mediated repulsion of cells
R-HSA-2691230|Signaling by NOTCH1 HD Domain Mutants in Cancer,R-HSA-2691232|Constitutive Signaling by NOTCH1 HD Domain Mutants
R-HSA-2894858|Signaling by NOTCH1 HD+PEST Domain Mutants in Cancer,R-HSA-2894862|Constitutive Signaling by NOTCH1 HD+PEST Domain Mutants
R-HSA-2980736|Peptide hormone metabolism,R-HSA-2022377|Metabolism of Angiotensinogen to Angiotensins
R-HSA-2980736|Peptide hormone metabolism,"R-HSA-400508|Incretin synthesis, secretion, and inactivation"
R-HSA-2980736|Peptide hormone metabolism,"R-HSA-422085|Synthesis, secretion, and deacylation of Ghrelin"
R-HSA-2980766|Nuclear Envelope Breakdown,R-HSA-3301854|Nuclear Pore Complex (NPC) Disassembly
R-HSA-2980766|Nuclear Envelope Breakdown,R-HSA-4419969|Depolymerization of the Nuclear Lamina
R-HSA-2990846|SUMOylation,R-HSA-3108232|SUMO E3 ligases SUMOylate target proteins
R-HSA-2995410|Nuclear Envelope (NE) Reassembly,R-HSA-2995383|Initiation of Nuclear Envelope (NE) Reformation
R-HSA-2995410|Nuclear Envelope (NE) Reassembly,R-HSA-9668328|Sealing of the nuclear envelope (NE) by ESCRT-III
R-HSA-3000171|Non-integrin membrane-ECM interactions,R-HSA-3000170|Syndecan interactions
R-HSA-3108232|SUMO E3 ligases SUMOylate target proteins,R-HSA-3108214|SUMOylation of DNA damage response and repair proteins
R-HSA-3108232|SUMO E3 ligases SUMOylate target proteins,R-HSA-3232142|SUMOylation of ubiquitinylation proteins
R-HSA-3108232|SUMO E3 ligases SUMOylate target proteins,R-HSA-3899300|SUMOylation of transcription cofactors
R-HSA-3108232|SUMO E3 ligases SUMOylate target proteins,R-HSA-4085377|SUMOylation of SUMOylation proteins
R-HSA-3108232|SUMO E3 ligases SUMOylate target proteins,R-HSA-4090294|SUMOylation of intracellular receptors
R-HSA-3108232|SUMO E3 ligases SUMOylate target proteins,R-HSA-4551638|SUMOylation of chromatin organization proteins
R-HSA-3108232|SUMO E3 ligases SUMOylate target proteins,R-HSA-4615885|SUMOylation of DNA replication proteins
R-HSA-3108232|SUMO E3 ligases SUMOylate target proteins,R-HSA-4755510|SUMOylation of immune response proteins
R-HSA-3247509|Chromatin modifying enzymes,R-HSA-3214815|HDACs deacetylate histones
R-HSA-3247509|Chromatin modifying enzymes,R-HSA-3214841|PKMTs methylate histone lysines
R-HSA-3247509|Chromatin modifying enzymes,R-HSA-3214842|HDMs demethylate histones
R-HSA-3247509|Chromatin modifying enzymes,R-HSA-3214847|HATs acetylate histones
R-HSA-3371556|Cellular response to heat stress,R-HSA-3371453|Regulation of HSF1-mediated heat shock response
R-HSA-3371556|Cellular response to heat stress,R-HSA-3371511|HSF1 activation
R-HSA-3371556|Cellular response to heat stress,R-HSA-3371571|HSF1-dependent transactivation
R-HSA-3371571|HSF1-dependent transactivation,R-HSA-3371568|Attenuation phase
R-HSA-351202|Metabolism of polyamines,R-HSA-350562|Regulation of ornithine decarboxylase (ODC)
R-HSA-3560782|Diseases associated with glycosaminoglycan metabolism,"R-HSA-3560783|Defective B4GALT7 causes EDS, progeroid type"
R-HSA-3560782|Diseases associated with glycosaminoglycan metabolism,R-HSA-3560801|Defective B3GAT3 causes JDSSDHD
R-HSA-3560782|Diseases associated with glycosaminoglycan metabolism,R-HSA-3656237|Defective EXT2 causes exostoses 2
R-HSA-3560782|Diseases associated with glycosaminoglycan metabolism,"R-HSA-3656253|Defective EXT1 causes exostoses 1, TRPS2 and CHDS"
R-HSA-3560782|Diseases associated with glycosaminoglycan metabolism,R-HSA-4420332|Defective B3GALT6 causes EDSP2 and SEMDJL1
R-HSA-3700989|Transcriptional Regulation by TP53,R-HSA-5628897|TP53 Regulates Metabolic Genes
R-HSA-3700989|Transcriptional Regulation by TP53,R-HSA-5633007|Regulation of TP53 Activity
R-HSA-3700989|Transcriptional Regulation by TP53,R-HSA-5633008|TP53 Regulates Transcription of Cell Death Genes
R-HSA-3700989|Transcriptional Regulation by TP53,R-HSA-6791312|TP53 Regulates Transcription of Cell Cycle Genes
R-HSA-3700989|Transcriptional Regulation by TP53,R-HSA-6796648|TP53 Regulates Transcription of DNA Repair Genes
R-HSA-372790|Signaling by GPCR,R-HSA-388396|GPCR downstream signalling
R-HSA-372790|Signaling by GPCR,R-HSA-500792|GPCR ligand binding
R-HSA-373076|Class A/1 (Rhodopsin-like receptors),R-HSA-375276|Peptide ligand-binding receptors
R-HSA-373076|Class A/1 (Rhodopsin-like receptors),R-HSA-391903|Eicosanoid ligand-binding receptors
R-HSA-373080|Class B/2 (Secretin family receptors),R-HSA-420092|Glucagon-type ligand receptors
R-HSA-373755|Semaphorin interactions,R-HSA-399954|Sema3A PAK dependent Axon repulsion
R-HSA-373755|Semaphorin interactions,R-HSA-399955|SEMA3A-Plexin repulsion signaling by inhibiting Integrin adhesion
R-HSA-373755|Semaphorin interactions,R-HSA-399956|CRMPs in Sema3A signaling
R-HSA-373755|Semaphorin interactions,R-HSA-400685|Sema4D in semaphorin signaling
R-HSA-373755|Semaphorin interactions,R-HSA-416700|Other semaphorin interactions
R-HSA-373760|L1CAM interactions,R-HSA-437239|Recycling pathway of L1
R-HSA-373760|L1CAM interactions,R-HSA-445095|Interaction between L1 and Ankyrins
R-HSA-373760|L1CAM interactions,R-HSA-445144|Signal transduction by L1
R-HSA-375165|NCAM signaling for neurite out-growth,R-HSA-419037|NCAM1 interactions
R-HSA-375276|Peptide ligand-binding receptors,R-HSA-380108|Chemokine receptors bind chemokines
R-HSA-376176|Signaling by ROBO receptors,R-HSA-9010553|Regulation of expression of SLITs and ROBOs
R-HSA-3781865|Diseases of glycosylation,R-HSA-3560782|Diseases associated with glycosaminoglycan metabolism
R-HSA-3781865|Diseases of glycosylation,R-HSA-3906995|Diseases associated with O-glycosylation of proteins
R-HSA-380284|Loss of proteins required for interphase microtubule organization from the centrosome,R-HSA-380259|Loss of Nlp from mitotic centrosomes
R-HSA-380287|Centrosome maturation,R-HSA-380270|Recruitment of mitotic centrosome proteins and complexes
R-HSA-380287|Centrosome maturation,R-HSA-380284|Loss of proteins required for interphase microtubule organization from the centrosome
R-HSA-381033|ATF6 (ATF6-alpha) activates chaperones,R-HSA-381183|ATF6 (ATF6-alpha) activates chaperone genes
R-HSA-381042|PERK regulates gene expression,R-HSA-380994|ATF4 activates genes in response to endoplasmic reticulum  stress
R-HSA-381070|IRE1alpha activates chaperones,R-HSA-381038|XBP1(S) activates chaperone genes
R-HSA-381119|Unfolded Protein Response (UPR),R-HSA-381033|ATF6 (ATF6-alpha) activates chaperones
R-HSA-381119|Unfolded Protein Response (UPR),R-HSA-381042|PERK regulates gene expression
R-HSA-381119|Unfolded Protein Response (UPR),R-HSA-381070|IRE1alpha activates chaperones
R-HSA-381753|Olfactory Signaling Pathway,R-HSA-9752946|Expression and translocation of olfactory receptors
R-HSA-382551|Transport of small molecules,R-HSA-1480926|O2/CO2 exchange in erythrocytes
R-HSA-382551|Transport of small molecules,"R-HSA-174824|Plasma lipoprotein assembly, remodeling, and clearance"
R-HSA-382551|Transport of small molecules,R-HSA-382556|ABC-family proteins mediated transport
R-HSA-382551|Transport of small molecules,R-HSA-425407|SLC-mediated transmembrane transport
R-HSA-382551|Transport of small molecules,R-HSA-445717|Aquaporin-mediated transport
R-HSA-382551|Transport of small molecules,R-HSA-5223345|Miscellaneous transport and binding events
R-HSA-382551|Transport of small molecules,R-HSA-917937|Iron uptake and transport
R-HSA-382551|Transport of small molecules,R-HSA-983712|Ion channel transport
R-HSA-3858494|Beta-catenin independent WNT signaling,R-HSA-4086398|Ca2+ pathway
R-HSA-3858494|Beta-catenin independent WNT signaling,R-HSA-4086400|PCP/CE pathway
R-HSA-388396|GPCR downstream signalling,R-HSA-397795|G-protein beta:gamma signalling
R-HSA-388396|GPCR downstream signalling,R-HSA-416476|G alpha (q) signalling events
R-HSA-388396|GPCR downstream signalling,R-HSA-416482|G alpha (12/13) signalling events
R-HSA-388396|GPCR downstream signalling,R-HSA-418555|G alpha (s) signalling events
R-HSA-388396|GPCR downstream signalling,R-HSA-418594|G alpha (i) signalling events
R-HSA-388396|GPCR downstream signalling,R-HSA-418597|G alpha (z) signalling events
R-HSA-388841|Regulation of T cell activation by CD28 family,R-HSA-389356|Co-stimulation by CD28
R-HSA-388841|Regulation of T cell activation by CD28 family,R-HSA-389513|Co-inhibition by CTLA4
R-HSA-388841|Regulation of T cell activation by CD28 family,R-HSA-389948|Co-inhibition by PD-1
R-HSA-388841|Regulation of T cell activation by CD28 family,R-HSA-9927354|Co-stimulation by ICOS
R-HSA-389356|Co-stimulation by CD28,R-HSA-389357|CD28 dependent PI3K/Akt signaling
R-HSA-389356|Co-stimulation by CD28,R-HSA-389359|CD28 dependent Vav1 pathway
R-HSA-389948|Co-inhibition by PD-1,R-HSA-9909648|Regulation of PD-L1(CD274) expression
R-HSA-389958|Cooperation of Prefoldin and TriC/CCT  in actin and tubulin folding,R-HSA-389957|Prefoldin mediated transfer of substrate  to CCT/TriC
R-HSA-389958|Cooperation of Prefoldin and TriC/CCT  in actin and tubulin folding,R-HSA-389960|Formation of tubulin folding intermediates by CCT/TriC
R-HSA-390466|Chaperonin-mediated protein folding,R-HSA-389958|Cooperation of Prefoldin and TriC/CCT  in actin and tubulin folding
R-HSA-390466|Chaperonin-mediated protein folding,R-HSA-390471|Association of TriC/CCT with target proteins during biosynthesis
R-HSA-3906995|Diseases associated with O-glycosylation of proteins,R-HSA-5083632|Defective C1GALT1C1 causes TNPS
R-HSA-3906995|Diseases associated with O-glycosylation of proteins,R-HSA-5083635|Defective B3GALTL causes PpS
R-HSA-391251|Protein folding,R-HSA-389977|Post-chaperonin tubulin folding pathway
R-HSA-391251|Protein folding,R-HSA-390466|Chaperonin-mediated protein folding
R-HSA-397014|Muscle contraction,R-HSA-390522|Striated Muscle Contraction
R-HSA-397014|Muscle contraction,R-HSA-445355|Smooth Muscle Contraction
R-HSA-397014|Muscle contraction,R-HSA-5576891|Cardiac conduction
R-HSA-397795|G-protein beta:gamma signalling,R-HSA-392451|G beta:gamma signalling through PI3Kgamma
"R-HSA-399721|Glutamate binding, activation of AMPA receptors and synaptic plasticity",R-HSA-399719|Trafficking of AMPA receptors
R-HSA-400206|Regulation of lipid metabolism by PPARalpha,R-HSA-1989781|PPARA activates gene expression
"R-HSA-400508|Incretin synthesis, secretion, and inactivation","R-HSA-381771|Synthesis, secretion, and inactivation of Glucagon-like Peptide-1 (GLP-1)"
"R-HSA-400508|Incretin synthesis, secretion, and inactivation","R-HSA-400511|Synthesis, secretion, and inactivation of Glucose-dependent Insulinotropic Polypeptide (GIP)"
R-HSA-400685|Sema4D in semaphorin signaling,R-HSA-416572|Sema4D induced cell migration and growth-cone collapse
R-HSA-4086400|PCP/CE pathway,R-HSA-4608870|Asymmetric localization of PCP proteins
R-HSA-416476|G alpha (q) signalling events,R-HSA-114508|Effects of PIP2 hydrolysis
R-HSA-418346|Platelet homeostasis,R-HSA-418360|Platelet calcium homeostasis
R-HSA-418360|Platelet calcium homeostasis,R-HSA-139853|Elevation of cytosolic Ca2+ levels
R-HSA-418555|G alpha (s) signalling events,R-HSA-9634597|GPER1 signaling
R-HSA-418594|G alpha (i) signalling events,R-HSA-111885|Opioid Signalling
R-HSA-418990|Adherens junctions interactions,R-HSA-9759476|Regulation of Homotypic Cell-Cell Adhesion
R-HSA-421270|Cell-cell junction organization,R-HSA-418990|Adherens junctions interactions
R-HSA-421270|Cell-cell junction organization,R-HSA-420029|Tight junction interactions
R-HSA-422356|Regulation of insulin secretion,R-HSA-381676|Glucagon-like Peptide-1 (GLP1) regulates insulin secretion
R-HSA-422475|Axon guidance,R-HSA-2682334|EPH-Ephrin signaling
R-HSA-422475|Axon guidance,R-HSA-373752|Netrin-1 signaling
R-HSA-422475|Axon guidance,R-HSA-373755|Semaphorin interactions
R-HSA-422475|Axon guidance,R-HSA-373760|L1CAM interactions
R-HSA-422475|Axon guidance,R-HSA-375165|NCAM signaling for neurite out-growth
R-HSA-422475|Axon guidance,R-HSA-376176|Signaling by ROBO receptors
R-HSA-422475|Axon guidance,R-HSA-8853659|RET signaling
R-HSA-425407|SLC-mediated transmembrane transport,"R-HSA-425397|Transport of vitamins, nucleosides, and related molecules"
R-HSA-425407|SLC-mediated transmembrane transport,R-HSA-425410|Metal ion SLC transporters
R-HSA-425407|SLC-mediated transmembrane transport,R-HSA-9958790|SLC-mediated transport of inorganic anions
R-HSA-425407|SLC-mediated transmembrane transport,R-HSA-9958863|SLC-mediated transport of amino acids
R-HSA-428157|Sphingolipid metabolism,R-HSA-1660662|Glycosphingolipid metabolism
R-HSA-429914|Deadenylation-dependent mRNA decay,R-HSA-430039|mRNA decay by 5' to 3' exoribonuclease
R-HSA-438064|Post NMDA receptor activation events,R-HSA-442720|CREB1 phosphorylation through the activation of Adenylate Cyclase
R-HSA-438064|Post NMDA receptor activation events,R-HSA-9619483|Activation of AMPK downstream of NMDARs
R-HSA-4420097|VEGFA-VEGFR2 Pathway,R-HSA-5218920|VEGFR2 mediated vascular permeability
R-HSA-4420097|VEGFA-VEGFR2 Pathway,R-HSA-5218921|VEGFR2 mediated cell proliferation
R-HSA-442755|Activation of NMDA receptors and postsynaptic events,R-HSA-438064|Post NMDA receptor activation events
R-HSA-442755|Activation of NMDA receptors and postsynaptic events,R-HSA-9609736|Assembly and cell surface presentation of NMDA receptors
R-HSA-445717|Aquaporin-mediated transport,R-HSA-432040|Vasopressin regulates renal water homeostasis via Aquaporins
R-HSA-445717|Aquaporin-mediated transport,R-HSA-432047|Passive transport by Aquaporins
"R-HSA-446193|Biosynthesis of the N-glycan precursor (dolichol lipid-linked oligosaccharide, LLO) and transfer to a nascent protein",R-HSA-446219|Synthesis of substrates in N-glycan biosythesis
R-HSA-446203|Asparagine N-linked glycosylation,"R-HSA-446193|Biosynthesis of the N-glycan precursor (dolichol lipid-linked oligosaccharide, LLO) and transfer to a nascent protein"
R-HSA-446203|Asparagine N-linked glycosylation,R-HSA-532668|N-glycan trimming in the ER and Calnexin/Calreticulin cycle
R-HSA-446203|Asparagine N-linked glycosylation,R-HSA-948021|Transport to the Golgi and subsequent modification
R-HSA-446219|Synthesis of substrates in N-glycan biosythesis,R-HSA-4085001|Sialic acid metabolism
R-HSA-446652|Interleukin-1 family signaling,R-HSA-9008059|Interleukin-37 signaling
R-HSA-446652|Interleukin-1 family signaling,R-HSA-9020702|Interleukin-1 signaling
R-HSA-446728|Cell junction organization,R-HSA-421270|Cell-cell junction organization
R-HSA-446728|Cell junction organization,R-HSA-446353|Cell-extracellular matrix interactions
R-HSA-447115|Interleukin-12 family signaling,R-HSA-8984722|Interleukin-35 Signalling
R-HSA-447115|Interleukin-12 family signaling,R-HSA-9020591|Interleukin-12 signaling
R-HSA-447115|Interleukin-12 family signaling,R-HSA-9020956|Interleukin-27 signaling
R-HSA-448424|Interleukin-17 signaling,R-HSA-450294|MAP kinase activation
R-HSA-449147|Signaling by Interleukins,R-HSA-1266695|Interleukin-7 signaling
R-HSA-449147|Signaling by Interleukins,R-HSA-446652|Interleukin-1 family signaling
R-HSA-449147|Signaling by Interleukins,R-HSA-447115|Interleukin-12 family signaling
R-HSA-449147|Signaling by Interleukins,R-HSA-448424|Interleukin-17 signaling
R-HSA-449147|Signaling by Interleukins,R-HSA-449836|Other interleukin signaling
R-HSA-449147|Signaling by Interleukins,R-HSA-451927|Interleukin-2 family signaling
R-HSA-449147|Signaling by Interleukins,"R-HSA-512988|Interleukin-3, Interleukin-5 and GM-CSF signaling"
R-HSA-449147|Signaling by Interleukins,R-HSA-6783589|Interleukin-6 family signaling
R-HSA-449147|Signaling by Interleukins,R-HSA-6783783|Interleukin-10 signaling
R-HSA-449147|Signaling by Interleukins,R-HSA-6785807|Interleukin-4 and Interleukin-13 signaling
R-HSA-449147|Signaling by Interleukins,R-HSA-8854691|Interleukin-20 family signaling
R-HSA-450294|MAP kinase activation,R-HSA-450282|MAPK targets/ Nuclear events mediated by MAP kinases
R-HSA-450294|MAP kinase activation,R-HSA-450302|activated TAK1 mediates p38 MAPK activation
