src,dst
R-HSA-1236975|Antigen processing-Cross presentation,R-HSA-1236973|Cross-presentation of particulate exogenous antigens (phagosomes)
R-HSA-1236975|Antigen processing-Cross presentation,R-HSA-1236974|ER-Phagosome pathway
R-HSA-1236975|Antigen processing-Cross presentation,R-HSA-1236977|Endosomal/Vacuolar pathway
R-HSA-1236975|Antigen processing-Cross presentation,R-HSA-1236978|Cross-presentation of soluble exogenous antigens (endosomes)
R-HSA-1257604|PIP3 activates AKT signaling,R-HSA-199418|Negative regulation of the PI3K/AKT network
R-HSA-1257604|PIP3 activates AKT signaling,R-HSA-6807070|PTEN Regulation
R-HSA-1280215|Cytokine Signaling in Immune system,R-HSA-449147|Signaling by Interleukins
R-HSA-1280215|Cytokine Signaling in Immune system,R-HSA-5668541|TNFR2 non-canonical NF-kB pathway
R-HSA-1280215|Cytokine Signaling in Immune system,R-HSA-913531|Interferon Signaling
R-HSA-1280215|Cytokine Signaling in Immune system,R-HSA-9607240|FLT3 Signaling
R-HSA-1280215|Cytokine Signaling in Immune system,R-HSA-9674555|Signaling by CSF3 (G-CSF)
R-HSA-1280215|Cytokine Signaling in Immune system,R-HSA-9680350|Signaling by CSF1 (M-CSF) in myeloid cells
R-HSA-1280215|Cytokine Signaling in Immune system,R-HSA-982772|Growth hormone receptor signaling
R-HSA-1280218|Adaptive Immune System,R-HSA-198933|Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell
R-HSA-1280218|Adaptive Immune System,R-HSA-202403|TCR signaling
R-HSA-1280218|Adaptive Immune System,R-HSA-2132295|MHC class II antigen presentation
R-HSA-1280218|Adaptive Immune System,R-HSA-388841|Regulation of T cell activation by CD28 family
R-HSA-1280218|Adaptive Immune System,R-HSA-983169|Class I MHC mediated antigen processing & presentation
R-HSA-1280218|Adaptive Immune System,R-HSA-983705|Signaling by the B Cell Receptor (BCR)
R-HSA-1296059|G protein gated Potassium channels,R-HSA-1296041|Activation of G protein gated Potassium channels
R-HSA-1296065|Inwardly rectifying K+ channels,R-HSA-1296059|G protein gated Potassium channels
R-HSA-1296071|Potassium Channels,R-HSA-1296065|Inwardly rectifying K+ channels
R-HSA-1296071|Potassium Channels,R-HSA-1296072|Voltage gated Potassium channels
R-HSA-140877|Formation of Fibrin Clot (Clotting Cascade),R-HSA-140837|Intrinsic Pathway of Fibrin Clot Formation
R-HSA-140877|Formation of Fibrin Clot (Clotting Cascade),R-HSA-140875|Common Pathway of Fibrin Clot Formation
R-HSA-141405|Inhibition of the proteolytic activity of APC/C required for the onset of anaphase by mitotic spindle checkpoint components,R-HSA-141430|Inactivation of APC/C via direct inhibition of the APC/C complex
R-HSA-141424|Amplification of signal from the kinetochores,R-HSA-141444|Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal
R-HSA-1428517|Aerobic respiration and respiratory electron transport,R-HSA-611105|Respiratory electron transport
R-HSA-1428517|Aerobic respiration and respiratory electron transport,R-HSA-70268|Pyruvate metabolism
R-HSA-1433557|Signaling by SCF-KIT,R-HSA-1433559|Regulation of KIT signaling
R-HSA-1474165|Reproduction,R-HSA-1187000|Fertilization
R-HSA-1474165|Reproduction,R-HSA-1500620|Meiosis
R-HSA-1474228|Degradation of the extracellular matrix,R-HSA-1442490|Collagen degradation
R-HSA-1474228|Degradation of the extracellular matrix,R-HSA-1592389|Activation of Matrix Metalloproteinases
R-HSA-1474244|Extracellular matrix organization,R-HSA-1474228|Degradation of the extracellular matrix
R-HSA-1474244|Extracellular matrix organization,R-HSA-1474290|Collagen formation
R-HSA-1474244|Extracellular matrix organization,R-HSA-1566948|Elastic fibre formation
R-HSA-1474244|Extracellular matrix organization,R-HSA-1566977|Fibronectin matrix formation
R-HSA-1474244|Extracellular matrix organization,R-HSA-216083|Integrin cell surface interactions
R-HSA-1474244|Extracellular matrix organization,R-HSA-3000157|Laminin interactions
R-HSA-1474244|Extracellular matrix organization,R-HSA-3000171|Non-integrin membrane-ECM interactions
R-HSA-1474244|Extracellular matrix organization,R-HSA-3000178|ECM proteoglycans
R-HSA-1474290|Collagen formation,R-HSA-1650814|Collagen biosynthesis and modifying enzymes
R-HSA-1474290|Collagen formation,R-HSA-2022090|Assembly of collagen fibrils and other multimeric structures
R-HSA-1480926|O2/CO2 exchange in erythrocytes,R-HSA-1237044|Erythrocytes take up carbon dioxide and release oxygen
R-HSA-1480926|O2/CO2 exchange in erythrocytes,R-HSA-1247673|Erythrocytes take up oxygen and release carbon dioxide
R-HSA-1483206|Glycerophospholipid biosynthesis,R-HSA-1482788|Acyl chain remodelling of PC
R-HSA-1483206|Glycerophospholipid biosynthesis,R-HSA-1482801|Acyl chain remodelling of PS
